Q2,PHYIR2,Physique I,3,48
Q2,RESIR2,Réseaux I,2,24
Q4,ATLIR4,Atelier Logiciel I,5,48
Q5,ATLIR5,Atelier Logiciel II,4,48
Q5,ANLIR5,Laboratoire d'analyse III,2,24
Q5,ORGIR5,Organisation des entreprises,2,24
